gen,seed,arm,rate,delivered,inj_prev,train_prev,mean_pstar,LogReg,MLP,LGBM
copula,2,balance,0.1,1680,0.0994047619047619,0.0991883116883116,0.1033519976937157,0.8267480557360243,0.7895210887878265,0.6964439912168885
copula,2,balance,0.2,3360,0.0991071428571428,0.099156746031746,0.0946829075200767,0.8271027965328092,0.8010445535937017,0.694649491935108
copula,2,clean,0.02,336,0.1101190476190476,0.0993814192343604,0.1049757756720242,0.8280183036313945,0.7991794873639974,0.7071203099857178
copula,2,clean,0.05,840,0.094047619047619,0.098922902494331,0.1003926466869893,0.8278288972315655,0.8014396000038378,0.7141369561611991
copula,2,clean,0.1,1680,0.1101190476190476,0.1001623376623376,0.100236408627969,0.8287934478235482,0.7947714410443241,0.7107904123525525
copula,2,clean,0.2,3360,0.1038690476190476,0.0999503968253968,0.0930295534814883,0.8285953035436731,0.8053606808419067,0.7033714596166024
copula,2,creative,0.02,336,0.0982142857142857,0.0991479925303454,0.2296163769274001,0.8317290756899155,0.8038569088190224,0.7050222764541888
copula,2,creative,0.05,840,0.0988095238095238,0.0991496598639455,0.2321839317642321,0.8321185110104141,0.7927798040521832,0.7102163678997014
copula,2,creative,0.1,1680,0.0994047619047619,0.0991883116883116,0.2199527175765699,0.8348836645503863,0.7998840860246004,0.7162501524845734
copula,2,creative,0.2,3360,0.0991071428571428,0.099156746031746,0.2247187549351681,0.8393673534983045,0.8003301034016738,0.7339361785241412
copula,2,harmful_orig,0.02,336,0.8214285714285714,0.113328664799253,0.2456599639760425,0.8247715387029834,0.7910884246047737,0.7035811259049702
copula,2,harmful_orig,0.05,840,0.8511904761904762,0.1349773242630385,0.2218339082200155,0.809964429974972,0.7733667617210951,0.697558863328591
copula,2,harmful_orig,0.1,1680,0.8529761904761904,0.1676948051948052,0.2207351994643372,0.7778126293548909,0.7576299254230505,0.702867532367849
copula,2,harmful_orig,0.2,3360,0.8535714285714285,0.2249007936507936,0.2231756056254288,0.7215023893818653,0.6919408133698474,0.7113491012662045
copula,2,harmful_rank,0.02,336,0.0982142857142857,0.0991479925303454,0.1913281712265041,0.8171257223314171,0.7963414753242267,0.7039583753094237
copula,2,harmful_rank,0.05,840,0.0988095238095238,0.0991496598639455,0.2246608095953983,0.7923739637902251,0.7753005745070465,0.6841279707078848
copula,2,harmful_rank,0.1,1680,0.0994047619047619,0.0991883116883116,0.2213488499202539,0.7623121869782972,0.7839422522074283,0.6703464064011996
copula,2,harmful_rank,0.2,3360,0.0991071428571428,0.099156746031746,0.2228224157339571,0.669239801009345,0.7557364182504502,0.6656132595445063
copula,2,random,0.02,336,0.0982142857142857,0.0991479925303454,0.2129772387957183,0.8279845085953326,0.8108358621786174,0.6997661417770723
copula,2,random,0.05,840,0.0988095238095238,0.0991496598639455,0.2044272690479345,0.8276256558549964,0.7911200780035692,0.7074699108530638
copula,2,random,0.1,1680,0.0994047619047619,0.0991883116883116,0.2176474505120416,0.8267881471856487,0.800793211044132,0.6935361832186102
copula,2,random,0.2,3360,0.0991071428571428,0.099156746031746,0.2280646319276009,0.8245585742932254,0.8051092526268466,0.6993315393266282
copula,3,BASE,0.0,0,,0.1010119047619047,,0.8326504508746104,0.8020171139090603,0.6941095209311633
copula,3,balance,0.02,336,0.1011904761904761,0.1010154061624649,0.0865581478187125,0.8319009634969065,0.796123799312483,0.6930553214032145
copula,3,balance,0.05,840,0.1011904761904761,0.1010204081632653,0.0963463926897379,0.8351291390138462,0.8063489179420544,0.7046127739925052
copula,3,clean,0.02,336,0.1160714285714285,0.1013071895424836,0.0887299331276865,0.8335034221650205,0.7954071218176985,0.6980505832449265
copula,3,clean,0.05,840,0.0904761904761904,0.1005102040816326,0.0980156866024506,0.8332219681954872,0.815275647562577,0.6994142493578516
copula,3,creative,0.02,336,0.1011904761904761,0.1010154061624649,0.2219105913964178,0.8380060003536272,0.8114290957013741,0.702183065097549
copula,3,creative,0.05,840,0.1011904761904761,0.1010204081632653,0.2237761701097117,0.8384820434851737,0.8112248263389173,0.6975623970300804
copula,3,harmful_orig,0.02,336,0.8363095238095238,0.1154295051353875,0.2324570877498655,0.8311868559668413,0.7684174379987445,0.6895377464424836
copula,3,harmful_orig,0.05,840,0.8630952380952381,0.1373015873015873,0.2299552783635782,0.8216645370225689,0.7596833700666957,0.7001717892916766
copula,3,harmful_rank,0.02,336,0.1011904761904761,0.1010154061624649,0.2265028751564156,0.8177703979813099,0.799116780224841,0.6847111813682355
copula,3,harmful_rank,0.05,840,0.1011904761904761,0.1010204081632653,0.2243696030750675,0.8042848079448232,0.7837059439514681,0.6817579492435394
copula,3,random,0.02,336,0.1011904761904761,0.1010154061624649,0.2324570877498655,0.8287234591176865,0.7965137057931801,0.6964772508436339
copula,3,random,0.05,840,0.1011904761904761,0.1010204081632653,0.2299552783635782,0.8307760899391706,0.8073455074275409,0.6902470781214449
copula,4,BASE,0.0,0,,0.1032142857142857,,0.8296546430010608,0.8011187827413505,0.6966683277205304
copula,4,balance,0.02,336,0.1041666666666666,0.1032329598506069,0.0955550274813812,0.8285329818992245,0.8022954410881846,0.6881105807846136
copula,4,balance,0.05,840,0.1035714285714285,0.1032312925170068,0.1071629638171768,0.8288341817643528,0.7933420266673246,0.6859608909622222
copula,4,clean,0.02,336,0.0982142857142857,0.1031162464985994,0.0999707469723414,0.830722163512806,0.8027205989182846,0.6914258781055453
copula,4,clean,0.05,840,0.0952380952380952,0.1028344671201814,0.10537226091458,0.8286976738050007,0.7996859845774703,0.6897225269058174
copula,4,creative,0.02,336,0.1041666666666666,0.1032329598506069,0.2229929738517962,0.832441512742913,0.8016659282301373,0.6973821996704963
copula,4,creative,0.05,840,0.1035714285714285,0.1032312925170068,0.2130800074899193,0.8348202292545595,0.7984042146736077,0.6947816737871823
copula,4,harmful_orig,0.02,336,0.8690476190476191,0.1182306255835667,0.2119085140749494,0.833428721857173,0.793529505593614,0.6860809511473693
copula,4,harmful_orig,0.05,840,0.8571428571428571,0.1391156462585034,0.2289561710225955,0.8248671413905496,0.7768952804482567,0.6895461416605673
copula,4,harmful_rank,0.02,336,0.1041666666666666,0.1032329598506069,0.2096167856169716,0.8179266518362568,0.7938042776548764,0.6868612138525896
copula,4,harmful_rank,0.05,840,0.1035714285714285,0.1032312925170068,0.2326566236989546,0.7994722491782967,0.7811529838318381,0.6723021923855028
copula,4,random,0.02,336,0.1041666666666666,0.1032329598506069,0.2491670489275408,0.8283270420596999,0.8058848679791989,0.6893033228273174
copula,4,random,0.05,840,0.1035714285714285,0.1032312925170068,0.227832485908442,0.8280384778544428,0.8016887580833956,0.685467115074111
copula,5,BASE,0.0,0,,0.1007142857142857,,0.8259952702369301,0.799917581231445,0.7123952482380322
copula,5,balance,0.02,336,0.1011904761904761,0.1007236227824463,0.0913822721160393,0.8255474967172983,0.7951811790861069,0.7074877078587466
copula,5,balance,0.05,840,0.1011904761904761,0.1007369614512471,0.1021058477990557,0.8262424151774577,0.8002727503556832,0.7143281187035865
copula,5,clean,0.02,336,0.0833333333333333,0.1003734827264239,0.0889418817002807,0.8257832053148242,0.796516447088881,0.7014755109775186
copula,5,clean,0.05,840,0.0952380952380952,0.100453514739229,0.0911258582250874,0.8248879152720325,0.7866042644966569,0.7072972306402845
copula,5,creative,0.02,336,0.1011904761904761,0.1007236227824463,0.2318079473394954,0.8298831556973718,0.7940396007576942,0.7100699441598065
copula,5,creative,0.05,840,0.1011904761904761,0.1007369614512471,0.2346905904840093,0.8312408252259513,0.8103060639516875,0.714282630328051
copula,5,harmful_orig,0.02,336,0.8690476190476191,0.1157796451914099,0.2230464438450429,0.8255795356108018,0.7864998810962991,0.7164838907758142
copula,5,harmful_orig,0.05,840,0.8535714285714285,0.1365646258503401,0.2372230426064428,0.8242352727315093,0.7474882449813729,0.7150581600149126
copula,5,harmful_rank,0.02,336,0.1011904761904761,0.1007236227824463,0.2315864494736837,0.8121173322532629,0.7870441139584036,0.7036311545515103
copula,5,harmful_rank,0.05,840,0.1011904761904761,0.1007369614512471,0.2209741633891285,0.7953397459093015,0.7756717630780364,0.7026671607852166
copula,5,random,0.02,336,0.1011904761904761,0.1007236227824463,0.2245098826030803,0.8225119828888323,0.7936030494173377,0.7064940309999425
copula,5,random,0.05,840,0.1011904761904761,0.1007369614512471,0.2304876702143373,0.8253520937331239,0.7894485301172451,0.70918716127865
copula,6,BASE,0.0,0,,0.104047619047619,,0.8282950459989419,0.811525426545611,0.7169715201649711
copula,6,balance,0.02,336,0.1041666666666666,0.1040499533146592,0.1007573420877348,0.8258326343029296,0.8032094062079381,0.7119630230049536
copula,6,balance,0.05,840,0.1035714285714285,0.1040249433106575,0.1041081440948241,0.8268327360735325,0.8124328382553299,0.7152292125833697
copula,6,clean,0.02,336,0.0952380952380952,0.103874883286648,0.0889019472769721,0.8290378086356297,0.812565405602112,0.7299327517331842
copula,6,clean,0.05,840,0.1011904761904761,0.1039115646258503,0.1045594036092067,0.8302438502457571,0.8060298996548709,0.7189765852227714
copula,6,creative,0.02,336,0.1041666666666666,0.1040499533146592,0.2237856921384897,0.8302931935683718,0.8072082713115182,0.7179527541112583
copula,6,creative,0.05,840,0.1035714285714285,0.1040249433106575,0.2320896728766612,0.8323043622923811,0.8129485445090476,0.7200224966144999
copula,6,harmful_orig,0.02,336,0.8571428571428571,0.1188141923436041,0.2267326588336927,0.8269340355162271,0.798973419026237,0.7153439400917238
copula,6,harmful_orig,0.05,840,0.8476190476190476,0.1394557823129251,0.2269202608031734,0.8201645771140187,0.7820112235499231,0.7127475261519609
copula,6,harmful_rank,0.02,336,0.1041666666666666,0.1040499533146592,0.2454032748732133,0.8156088434884632,0.8006696814066137,0.7018450504878135
copula,6,harmful_rank,0.05,840,0.1035714285714285,0.1040249433106575,0.2149037942468399,0.8008878714113014,0.7980263013616016,0.7067358218473044
copula,6,random,0.02,336,0.1041666666666666,0.1040499533146592,0.2216488105047373,0.8304345416279458,0.8046730011157073,0.7101098642784498
